com.samsung.health.step_count
time_offset,end_time,speed,pkg_name,start_time,count,sample_position_type,calorie,distance,datauuid,deviceuuid,update_time,create_time
-14400000,2016-07-24 14:41:00.000,2.0,com.sec.android.app.shealth,2016-07-24 14:40:00.000,18,,0.86,15.15,aafade57-a159-4248-96ad-d9586723f261,SD5aE64hxX,2016-07-24 14:55:02.095,2016-07-24 14:55:02.095
-14400000,2016-07-24 14:42:00.000,2.1666667,com.sec.android.app.shealth,2016-07-24 14:41:00.000,58,,3.46,52.22,a5a32611-0d87-4dd1-8d4f-401093674a63,SD5aE64hxX,2016-07-24 14:55:02.211,2016-07-24 14:55:02.211
-14400000,2016-07-24 14:43:00.000,2.1111112,com.sec.android.app.shealth,2016-07-24 14:42:00.000,36,,2.1,32.77,b7b4b15b-a6f0-45a7-a3e4-e09d102803ff,SD5aE64hxX,2016-07-24 14:55:02.329,2016-07-24 14:55:02.329
-14400000,2016-07-24 14:44:00.000,3.3888888,com.sec.android.app.shealth,2016-07-24 14:43:00.000,16,,1.78,20.83,c261f946-fbd8-413b-984f-8d28e317e24a,SD5aE64hxX,2016-07-24 14:55:02.416,2016-07-24 14:55:02.416
-14400000,2016-07-24 14:45:00.000,2.2500002,com.sec.android.app.shealth,2016-07-24 14:44:00.000,33,,2.34,31.97,3d2f6435-a104-4103-ba9f-c02545e06404,SD5aE64hxX,2016-07-24 14:55:02.515,2016-07-24 14:55:02.515
-14400000,2016-07-24 14:46:00.000,2.3888888,com.sec.android.app.shealth,2016-07-24 14:45:00.000,41,,2.39,37.46,17083c95-9f5e-475f-8847-ca7c4ba64323,SD5aE64hxX,2016-07-24 14:55:02.636,2016-07-24 14:55:02.636
-14400000,2016-07-24 14:48:00.000,2.3611112,com.sec.android.app.shealth,2016-07-24 14:47:00.000,28,,1.34,24.85,d31d9419-d09d-4e78-b7a2-8a266aa2ee43,SD5aE64hxX,2016-07-24 14:55:02.790,2016-07-24 14:55:02.790
-14400000,2016-07-24 14:49:00.000,1.75,com.sec.android.app.shealth,2016-07-24 14:48:00.000,107,,5.09,88.38,d458de81-2f6e-4334-afa4-ce65d6974664,SD5aE64hxX,2016-07-24 14:55:02.966,2016-07-24 14:55:02.966
-14400000,2016-07-24 14:50:00.000,1.4444444,com.sec.android.app.shealth,2016-07-24 14:49:00.000,41,,1.97,32.06,4ad1142d-5c75-4c9b-9f14-9261f4ca3d13,SD5aE64hxX,2016-07-24 14:55:03.233,2016-07-24 14:55:03.233
-14400000,2016-07-24 14:51:00.000,2.8055556,com.sec.android.app.shealth,2016-07-24 14:50:00.000,30,,1.97,29.27,26e1b0f6-119b-4637-b9f6-c3ed13871a5e,SD5aE64hxX,2016-07-24 14:55:03.393,2016-07-24 14:55:03.393
-14400000,2016-07-24 14:52:00.000,1.7777778,com.sec.android.app.shealth,2016-07-24 14:51:00.000,8,,0.37,6.47,9708af51-24ec-4a84-8fd7-20108768378c,SD5aE64hxX,2016-07-24 14:55:03.509,2016-07-24 14:55:03.509
-14400000,2016-07-24 14:53:00.000,3.3333333,com.sec.android.app.shealth,2016-07-24 14:52:00.000,9,,0.56,8.96,84c4c920-cc21-44de-a29c-021ac64dd91b,SD5aE64hxX,2016-07-24 14:55:03.618,2016-07-24 14:55:03.618
-14400000,2016-07-24 14:54:00.000,1.6944444,com.sec.android.app.shealth,2016-07-24 14:53:00.000,100,,5.13,82.22,2ef17771-794b-427c-8925-da502f2608b3,SD5aE64hxX,2016-07-24 14:55:03.710,2016-07-24 14:55:03.710
-14400000,2016-07-24 14:55:00.000,1.3055556,com.sec.android.app.shealth,2016-07-24 14:54:00.000,14,,0.7,10.86,d66e735c-c8f5-45df-a207-2b121f2ed5e2,SD5aE64hxX,2016-07-24 14:55:03.798,2016-07-24 14:55:03.798
-14400000,2016-07-24 14:59:00.000,1.75,com.sec.android.app.shealth,2016-07-24 14:58:00.000,21,,0.98,16.94,38ec1809-42a9-4457-9de7-37da3b7b3554,SD5aE64hxX,2016-07-24 15:15:00.854,2016-07-24 15:15:00.854
-14400000,2016-07-24 15:00:00.000,1.9166665,com.sec.android.app.shealth,2016-07-24 14:59:00.000,74,,3.75,63.23,0d12b234-5d28-4f63-b58d-5dd9e89695ed,SD5aE64hxX,2016-07-24 15:15:01.180,2016-07-24 15:15:01.180
-14400000,2016-07-24 15:01:00.000,1.3333334,com.sec.android.app.shealth,2016-07-24 15:00:00.000,23,,1.12,17.91,18cbbd3e-e7a2-4f8a-84a1-a3b1c9c1c3cf,SD5aE64hxX,2016-07-24 15:15:01.302,2016-07-24 15:15:01.302
-14400000,2016-07-24 15:02:00.000,1.6944444,com.sec.android.app.shealth,2016-07-24 15:01:00.000,59,,2.92,48.23,fa53e32d-1ff3-491c-bc37-1a35a59d463d,SD5aE64hxX,2016-07-24 15:15:01.443,2016-07-24 15:15:01.443
-14400000,2016-07-24 15:03:00.000,1.0277778,com.sec.android.app.shealth,2016-07-24 15:02:00.000,18,,1.15,11.85,2b4f3254-6f9d-4d23-9289-6e3312d1347b,SD5aE64hxX,2016-07-24 15:15:01.555,2016-07-24 15:15:01.555
-14400000,2016-07-24 15:04:00.000,1.9444444,com.sec.android.app.shealth,2016-07-24 15:03:00.000,49,,3.05,43.27,791d6118-baf6-4f87-8778-5d946e6f57df,SD5aE64hxX,2016-07-24 15:15:01.679,2016-07-24 15:15:01.679
-14400000,2016-07-24 15:05:00.000,1.8888891,com.sec.android.app.shealth,2016-07-24 15:04:00.000,70,,4.26,64.44,f273a9ee-a3f8-4480-82cb-f8568c210158,SD5aE64hxX,2016-07-24 15:15:01.840,2016-07-24 15:15:01.840
-14400000,2016-07-24 15:06:00.000,2.1388888,com.sec.android.app.shealth,2016-07-24 15:05:00.000,10,,0.59,8.1,8a3c1b2a-13f8-4753-b781-0235e8be29fa,SD5aE64hxX,2016-07-24 15:15:02.004,2016-07-24 15:15:02.004
-14400000,2016-07-24 15:07:00.000,1.9999999,com.sec.android.app.shealth,2016-07-24 15:06:00.000,25,,1.34,21.44,c72f6288-d6ed-4e8c-adb4-b51bf25b10bd,SD5aE64hxX,2016-07-24 15:15:02.213,2016-07-24 15:15:02.213
